file;repetitions;cost;path;time
testData/tsp_6_1.txt;10;;;
;;132;[0, 1, 2, 3, 4, 5, 0];0.00052
;;132;[0, 1, 2, 3, 4, 5, 0];0.00048
;;132;[0, 1, 2, 3, 4, 5, 0];0.00047
;;132;[0, 1, 2, 3, 4, 5, 0];0.00047
;;132;[0, 1, 2, 3, 4, 5, 0];0.00047
;;132;[0, 1, 2, 3, 4, 5, 0];0.00047
;;132;[0, 1, 2, 3, 4, 5, 0];0.00047
;;132;[0, 1, 2, 3, 4, 5, 0];0.00047
;;132;[0, 1, 2, 3, 4, 5, 0];0.00046
;;132;[0, 1, 2, 3, 4, 5, 0];0.00046
testData/tsp_6_2.txt;5;;;
;;80;[0, 5, 1, 2, 3, 4, 0];0.00047
;;80;[0, 5, 1, 2, 3, 4, 0];0.00046
;;80;[0, 5, 1, 2, 3, 4, 0];0.00047
;;80;[0, 5, 1, 2, 3, 4, 0];0.00046
;;80;[0, 5, 1, 2, 3, 4, 0];0.00046
testData/tsp_10.txt;1;;;
;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];2.40277
