file;repetitions;cost;path;time
testData/tsp_6_1.txt;10;;;
;;132;[0, 1, 2, 3, 4, 5, 0];0.00019
;;132;[0, 1, 2, 3, 4, 5, 0];0.0002
;;132;[0, 1, 2, 3, 4, 5, 0];0.00028
;;132;[0, 1, 2, 3, 4, 5, 0];0.0002
;;132;[0, 1, 2, 3, 4, 5, 0];0.00031
;;132;[0, 1, 2, 3, 4, 5, 0];0.00025
;;132;[0, 1, 2, 3, 4, 5, 0];0.00025
;;132;[0, 1, 2, 3, 4, 5, 0];0.00025
;;132;[0, 1, 2, 3, 4, 5, 0];0.00025
;;132;[0, 1, 2, 3, 4, 5, 0];0.00022
testData/tsp_6_2.txt;10;;;
;;80;[0, 5, 1, 2, 3, 4, 0];0.00026
;;80;[0, 5, 1, 2, 3, 4, 0];0.00019
;;80;[0, 5, 1, 2, 3, 4, 0];0.00022
;;80;[0, 5, 1, 2, 3, 4, 0];0.00028
;;80;[0, 5, 1, 2, 3, 4, 0];0.00026
;;80;[0, 5, 1, 2, 3, 4, 0];0.00026
;;80;[0, 5, 1, 2, 3, 4, 0];0.00022
;;80;[0, 5, 1, 2, 3, 4, 0];0.00025
;;80;[0, 5, 1, 2, 3, 4, 0];0.00026
;;80;[0, 5, 1, 2, 3, 4, 0];0.00023
testData/tsp_10.txt;10;;;
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.0083
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.00782
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.00834
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.00759
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.00758
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.00752
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.0105
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.00724
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.00782
;;212;[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];0.00754
testData/tsp_12.txt;10;;;
;;264;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0];0.04993
;;264;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0];0.04303
;;264;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0];0.04319
;;264;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0];0.04394
;;264;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0];0.04313
;;264;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0];0.04269
